# Elements 1e+06
[00001.942 ms] [1.644725] sumSeq
[00000.745 ms] [1.644726] sumOpenmp [2 threads; schedule auto 4096]
[00000.769 ms] [1.644726] sumOpenmp [2 threads; schedule auto 8192]
[00000.740 ms] [1.644726] sumOpenmp [2 threads; schedule auto 16384]
[00000.741 ms] [1.644726] sumOpenmp [2 threads; schedule auto 32768]
[00000.739 ms] [1.644726] sumOpenmp [2 threads; schedule auto 65536]
[00000.739 ms] [1.644726] sumOpenmp [2 threads; schedule static 64]
[00000.740 ms] [1.644726] sumOpenmp [2 threads; schedule static 128]
[00000.753 ms] [1.644726] sumOpenmp [2 threads; schedule static 256]
[00000.746 ms] [1.644726] sumOpenmp [2 threads; schedule static 512]
[00000.740 ms] [1.644726] sumOpenmp [2 threads; schedule static 1024]
[00000.740 ms] [1.644726] sumOpenmp [2 threads; schedule static 2048]
[00000.742 ms] [1.644726] sumOpenmp [2 threads; schedule static 4096]
[00000.740 ms] [1.644726] sumOpenmp [2 threads; schedule static 8192]
[00000.762 ms] [1.644726] sumOpenmp [2 threads; schedule static 16384]
[00000.735 ms] [1.644726] sumOpenmp [2 threads; schedule static 32768]
[00000.739 ms] [1.644726] sumOpenmp [2 threads; schedule static 65536]
[00000.739 ms] [1.644726] sumOpenmp [2 threads; schedule dynamic 64]
[00000.740 ms] [1.644726] sumOpenmp [2 threads; schedule dynamic 128]
[00000.745 ms] [1.644726] sumOpenmp [2 threads; schedule dynamic 256]
[00000.747 ms] [1.644726] sumOpenmp [2 threads; schedule dynamic 512]
[00000.760 ms] [1.644726] sumOpenmp [2 threads; schedule dynamic 1024]
[00000.740 ms] [1.644726] sumOpenmp [2 threads; schedule dynamic 2048]
[00000.743 ms] [1.644726] sumOpenmp [2 threads; schedule dynamic 4096]
[00000.739 ms] [1.644726] sumOpenmp [2 threads; schedule dynamic 8192]
[00000.742 ms] [1.644726] sumOpenmp [2 threads; schedule dynamic 16384]
[00000.738 ms] [1.644726] sumOpenmp [2 threads; schedule dynamic 32768]
[00000.763 ms] [1.644726] sumOpenmp [2 threads; schedule dynamic 65536]
[00000.739 ms] [1.644726] sumOpenmp [2 threads; schedule guided 64]
[00000.740 ms] [1.644726] sumOpenmp [2 threads; schedule guided 128]
[00000.738 ms] [1.644726] sumOpenmp [2 threads; schedule guided 256]
[00000.740 ms] [1.644726] sumOpenmp [2 threads; schedule guided 512]
[00000.756 ms] [1.644726] sumOpenmp [2 threads; schedule guided 1024]
[00000.817 ms] [1.644726] sumOpenmp [2 threads; schedule guided 2048]
[00000.739 ms] [1.644726] sumOpenmp [2 threads; schedule guided 4096]
[00000.738 ms] [1.644726] sumOpenmp [2 threads; schedule guided 8192]
[00000.754 ms] [1.644726] sumOpenmp [2 threads; schedule guided 16384]
[00000.739 ms] [1.644726] sumOpenmp [2 threads; schedule guided 32768]
[00000.739 ms] [1.644726] sumOpenmp [2 threads; schedule guided 65536]
[00000.754 ms] [1.644726] sumOpenmp [2 threads; schedule auto 64]
[00000.736 ms] [1.644726] sumOpenmp [2 threads; schedule auto 128]
[00000.742 ms] [1.644726] sumOpenmp [2 threads; schedule auto 256]
[00000.738 ms] [1.644726] sumOpenmp [2 threads; schedule auto 512]
[00000.740 ms] [1.644726] sumOpenmp [2 threads; schedule auto 1024]
[00000.739 ms] [1.644726] sumOpenmp [2 threads; schedule auto 2048]
[00000.743 ms] [1.644726] sumOpenmp [2 threads; schedule auto 4096]
[00000.769 ms] [1.644726] sumOpenmp [2 threads; schedule auto 8192]
